euler_x,euler_y,midpoint_x,midpoint_y,rk4_x,rk4_y,analytical_x,analytical_y,euler_step_ns,midpoint_step_ns,rk4_step_ns
0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,4050,8027,9105
5.00000000,7.50000000,3.75000000,5.31854248,3.93229175,5.63667202,3.93469334,5.64086246,1981,5031,7954
7.50000000,10.63708496,6.09375000,8.18294430,6.31829166,8.57480717,6.32120562,8.57989120,1481,4905,7592
8.75000000,11.59271145,7.55859375,9.51350880,7.76604652,9.87554932,7.76869822,9.88017559,1236,3987,7609
9.37500000,11.45760918,8.47412109,9.88542461,8.64450169,10.18276882,8.64664745,10.18651199,1138,3860,7907
9.68750000,10.77714252,9.04632568,9.65818596,9.17752266,9.88714790,9.17914963,9.88998604,1138,4180,7550
9.84375000,9.82399368,9.40395355,9.05647469,9.50094414,9.22574139,9.50212955,9.22780800,1120,3681,7457
9.92187500,8.73450375,9.62747097,8.22071838,9.69718742,8.34238625,9.69802666,8.34384823,1093,3711,7480
9.96093750,7.57684326,9.76716900,7.23868418,9.81626225,7.32435989,9.81684399,7.32537460,1570,4072,25293
9.98046875,6.38509750,9.85448074,6.16522598,9.88851357,6.22461843,9.88891029,6.22531033,1068,3621,12808
9.99023438,5.17630863,9.90904999,5.03462791,9.93235302,5.07529449,9.93262100,5.07576180,1020,3590,12021
9.99511719,3.95899868,9.94315624,3.86831737,9.95895386,3.89588571,9.95913219,3.89619637,1014,3617,9144
9.99755859,2.73742819,9.96447277,2.67968655,9.97509480,2.69822216,9.97521210,2.69842815,1004,3603,8267
9.99877930,1.51372719,9.97779560,1.47710562,9.98488808,1.48948240,9.98496532,1.48961830,1016,3605,7960
9.99938965,0.28896105,9.98612213,0.26580572,9.99083042,0.27402163,9.99088097,0.27410889,1000,3581,7853
